Journee;Date de fin de la journee;Date de debut de la journee;Equipe a domicile;Equipe a l'exterieur;Buts domicile;Buts exterieur
9;2017-10-15;2017-10-13;Dijon Football Côte d'Or;Paris SG;1;2
8;2017-11-20;2017-09-29;Amiens SC;LOSC;3;0
15;2017-11-29;2017-11-28;Paris SG;Esperance Sportive Troyes Aube Champagne;2;0
10;2017-10-22;2017-10-20;AS Saint-etienne;Montpellier Heraut SC;0;1
18;2017-12-17;2017-12-15;Stade Rennais Football Club;Paris SG;1;4
21;2018-01-17;2018-01-16;LOSC;Stade Rennais Football Club;1;2
35;2018-04-29;2018-04-27;Racing Club Strasbourg Alsace;OGC Nice;1;1
35;2018-04-29;2018-04-27;Esperance Sportive Troyes Aube Champagne;Stade Malherbe Caen;3;1
37;2018-05-12;2018-05-11;Amiens SC;Football Club de Metz;2;0
30;2018-03-18;2018-03-16;Angers SCO;Stade Malherbe Caen;3;0
32;2018-04-08;2018-04-06;AS Saint-etienne;Paris SG;1;1
17;2017-12-10;2017-12-08;Paris SG;LOSC;3;1
1;2017-08-06;2017-08-04;Angers SCO;FC Girondins de Bordeaux;2;2
1;2017-08-06;2017-08-04;Olympique de Marseille;Dijon Football Côte d'Or;3;0
2;2017-08-13;2017-08-11;FC Girondins de Bordeaux;Football Club de Metz;2;0
2;2017-08-13;2017-08-11;Racing Club Strasbourg Alsace;LOSC;3;0
30;2018-03-18;2018-03-16;Amiens SC;Esperance Sportive Troyes Aube Champagne;1;1
11;2017-10-29;2017-10-27;Stade Malherbe Caen;Esperance Sportive Troyes Aube Champagne;1;0
18;2017-12-17;2017-12-15;AS Saint-etienne;AS Monaco;0;4
18;2017-12-17;2017-12-15;Stade Malherbe Caen;En Avant de Guingamp;0;0
7;2017-09-24;2017-09-22;FC Girondins de Bordeaux;En Avant de Guingamp;3;1
9;2017-10-15;2017-10-13;FC Girondins de Bordeaux;FC Nantes;1;1
8;2017-11-20;2017-09-29;AS Monaco;Montpellier Heraut SC;1;1
